2.86	72.55	125.97	0.18	2.43	1.06	-2.78	2.41	-2.22	4.81
11.23	79.62	6.51	0.30	4.19	0.62	-2.10	1.20	-0.23	1.92
-1.09	70.92	13.57	0.03	6.93	6.23	-3.17	10.07	-0.41	19.06
0.63	71.74	38.25	0.37	2.67	1.48	2.73	2.86	4.22	2.55
12.76	81.53	42.18	0.02	2.12	6.05	-1.31	8.09	0.61	7.38
2.91	74.81	61.42	0.33	3.83	-2.59	5.65	1.42	-1.72	1.86
2.60	72.44	111.23	0.17	2.12	2.90	1.00	3.43	1.42	7.68
3.35	69.96	115.14	0.23	1.86	0.50	3.72	2.44	6.99	11.74
-0.49	69.90	120.14	0.23	4.38	0.06	3.24	0.80	2.12	6.52
4.74	75.86	132.35	0.24	2.24	0.16	0.94	1.23	4.40	7.01
0.59	96.30	0.31	0.03	12.87	-0.21	-0.25	12.04	0.32	10.97
2.33	100.50	7.65	0.04	3.43	0.07	2.92	5.11	-1.80	8.01
7.70	80.28	43.34	0.19	3.05	0.50	1.98	1.38	1.69	3.49
8.86	83.40	41.73	0.06	3.27	0.10	0.04	5.16	-1.01	5.80
10.93	89.10	56.21	0.20	2.47	0.02	1.38	1.05	3.27	5.61
6.00	85.42	72.70	0.01	9.71	-10.41	-0.48	9.28	-2.81	9.03
-4.26	97.71	77.46	0.09	2.57	0.38	-0.82	6.57	-5.08	9.25
10.72	94.72	88.83	0.28	2.41	0.20	-0.93	1.29	-2.89	4.14
9.23	86.88	100.40	0.26	2.14	0.32	-0.58	1.92	-1.86	2.79
6.26	76.22	127.67	0.11	4.26	2.23	6.13	8.73	6.36	11.32
13.48	85.02	137.97	0.24	1.63	0.14	3.00	1.36	3.55	9.49
0.20	100.95	4.80	0.19	4.42	-0.04	3.90	1.13	0.37	6.09
9.92	105.76	14.89	0.18	3.74	2.58	1.91	3.05	1.89	1.60
10.60	116.70	31.31	0.03	3.97	0.85	0.55	9.75	4.04	10.50
-1.52	101.42	40.79	0.01	6.24	0.31	0.47	16.04	2.55	16.84
-0.27	99.63	71.87	0.17	1.49	-0.11	0.04	2.79	-2.73	1.70
13.90	102.85	74.63	0.02	13.81	2.46	5.06	4.29	0.24	7.58
9.08	100.97	85.21	0.06	1.92	-0.51	0.67	7.65	-8.14	6.82
8.16	87.23	102.06	0.04	2.46	1.09	-2.18	10.62	-5.26	13.32
0.50	104.99	136.36	0.34	1.58	-0.32	2.35	1.77	-5.38	5.06
15.06	110.46	13.96	0.21	3.46	0.26	-3.56	1.25	-0.05	1.58
5.14	116.48	44.86	0.21	3.14	-0.37	-1.87	1.23	0.84	2.92
1.39	121.48	50.27	0.13	1.42	1.17	-0.79	7.38	-4.79	2.32
9.70	104.44	82.12	0.33	2.47	-0.12	0.63	2.18	-3.17	1.74
-5.40	114.42	101.56	0.02	11.72	-2.20	-2.74	7.01	1.74	12.76
-5.24	109.07	135.67	0.04	7.31	-4.46	3.95	12.46	-1.98	13.04
-3.80	129.42	2.21	0.05	5.65	1.71	0.88	11.41	3.51	18.00
8.65	116.35	38.99	0.19	3.03	0.00	-1.26	1.06	-1.10	3.27
8.28	121.43	35.26	0.07	1.37	0.55	-1.32	5.75	-5.77	7.80
2.77	120.78	49.78	0.35	3.27	0.45	0.16	2.82	0.98	1.25
1.76	122.49	67.38	0.25	3.00	0.83	8.07	1.01	1.43	4.80
7.61	116.52	78.86	0.25	2.36	-1.03	1.18	4.08	-3.22	0.40
1.24	130.19	75.46	0.06	4.21	-3.01	1.56	12.05	-0.76	8.64
11.37	125.47	96.89	0.04	4.84	-5.55	0.49	10.71	-1.27	5.28
11.65	125.86	115.49	0.04	4.04	-7.26	-1.71	11.85	2.39	4.91
-1.37	134.14	11.23	0.13	3.04	-0.32	0.65	1.12	5.76	20.80
2.03	141.49	37.14	0.09	2.09	0.41	0.77	8.37	0.22	11.58
4.30	136.42	45.85	0.22	2.83	0.32	0.49	4.30	-7.24	3.69
6.00	132.11	48.46	0.07	3.70	4.27	-2.34	13.71	-5.31	9.08
2.22	128.76	76.77	0.28	2.46	-0.68	0.62	3.73	-3.58	1.63
3.35	138.35	95.14	0.03	3.51	2.05	-0.92	8.94	-5.00	5.25
4.36	134.10	96.53	0.29	2.30	-4.31	-2.36	5.26	2.75	1.20
8.97	132.25	115.70	0.30	1.19	1.45	-1.64	0.57	3.68	0.43
10.60	139.36	121.33	0.02	11.06	0.66	4.56	9.78	-1.39	16.32
11.95	9.36	-2.30	0.09	4.99	3.11	0.83	10.32	3.55	8.78
11.69	-4.88	65.13	0.14	3.41	-0.38	-0.64	4.39	0.67	9.45
15.05	1.97	78.04	0.37	2.77	1.10	3.77	1.73	3.36	2.82
13.72	-2.63	95.66	0.05	2.58	0.23	-7.20	4.91	-10.85	19.21
13.88	-4.83	102.51	0.15	2.52	0.98	1.83	6.83	5.95	10.60
17.18	4.76	111.97	0.32	1.83	0.58	0.70	3.18	5.34	2.27
22.39	3.21	131.49	0.52	1.81	1.64	-0.87	2.89	-1.29	1.38
22.25	3.48	134.03	0.60	2.48	-0.20	0.08	1.63	0.24	1.40
14.43	25.99	1.56	0.34	2.34	0.31	-0.08	3.34	-3.71	1.98
8.22	13.55	34.35	0.03	6.23	-3.56	0.08	10.26	-1.76	11.56
13.29	16.00	40.23	0.25	3.03	1.23	1.37	2.67	1.32	1.43
24.36	10.88	51.01	0.02	4.76	0.76	2.29	7.95	-7.16	8.04
22.59	10.79	82.62	0.03	6.42	-2.07	-2.71	8.56	-4.99	13.78
20.93	15.28	102.08	0.27	2.17	-2.44	0.99	2.86	-1.55	1.44
19.44	15.62	113.16	0.36	-0.00	2.89	0.01	2.53	3.13	0.35
20.97	3.96	130.65	0.14	2.87	1.76	0.33	9.84	4.06	9.95
18.78	29.30	0.81	0.18	3.36	0.29	-2.58	4.67	0.10	3.56
22.10	26.60	37.31	0.03	3.82	0.54	0.64	9.13	4.18	7.35
19.41	23.39	41.08	0.54	3.05	1.42	-0.75	2.34	0.03	1.29
24.40	30.91	46.32	0.04	4.66	6.22	1.59	11.06	2.66	7.00
26.28	25.06	66.52	0.19	2.35	0.13	-2.50	2.18	7.00	4.57
14.17	32.91	105.55	0.06	1.94	-0.34	-0.04	8.68	3.24	6.36
14.73	27.63	105.33	0.26	2.17	-0.36	-0.47	3.01	6.84	2.71
19.03	18.84	110.56	0.04	5.03	-3.17	1.43	9.73	1.07	9.90
20.94	21.84	133.52	0.35	2.15	-0.95	-2.59	1.97	3.09	2.34
15.60	38.66	18.62	0.02	6.88	-0.02	-0.30	13.71	2.69	12.32
24.24	33.89	46.20	0.19	2.63	0.78	2.63	1.72	6.21	5.16
18.32	44.20	75.39	0.07	3.76	-4.25	-2.53	9.28	4.26	4.96
17.11	45.32	76.47	0.40	2.27	-0.92	-0.08	2.04	-1.23	1.22
8.09	51.42	106.85	0.19	2.56	-3.03	-4.50	3.16	3.90	2.32
12.72	35.18	111.21	0.35	2.29	1.25	-0.92	1.80	-0.98	1.44
11.42	46.90	129.13	0.31	2.16	0.02	3.85	1.38	-3.42	7.96
10.97	49.93	5.70	0.29	3.36	0.09	0.63	1.35	2.29	2.58
10.19	50.11	31.30	0.34	4.00	3.20	9.27	1.72	2.20	3.58
19.09	49.83	33.79	0.05	4.71	6.37	4.45	2.97	0.74	4.02
15.56	60.79	76.84	0.04	6.44	-1.30	1.22	7.54	3.27	9.36
17.46	65.43	79.00	0.19	2.17	2.02	1.89	3.47	3.27	1.66
20.24	51.33	98.76	0.26	2.14	1.02	-1.75	3.67	-3.54	1.90
14.31	50.03	102.88	0.03	11.28	0.60	-3.05	10.51	0.07	9.25
23.07	73.88	52.14	0.04	8.56	-3.82	3.23	5.08	-0.21	4.55
18.59	67.00	73.73	0.03	2.77	-1.46	-1.17	3.34	-8.43	8.60
11.59	61.67	77.20	0.43	4.52	4.08	2.41	1.89	1.24	1.05
20.40	77.10	0.27	0.60	3.19	0.43	-1.73	1.62	1.16	2.20
13.23	78.01	48.48	0.19	3.04	-0.62	3.98	1.19	-2.21	3.16
24.48	72.86	52.30	0.43	1.22	-5.11	-0.10	1.14	-1.12	0.17
17.33	74.42	63.99	0.35	3.58	3.63	2.71	1.88	1.12	1.25
24.18	75.16	84.42	0.05	2.23	0.77	3.17	5.26	8.98	6.00
12.90	83.10	138.93	0.11	4.93	-1.71	3.32	5.20	4.48	5.76
17.77	80.40	8.35	0.01	2.38	-0.18	-1.68	10.52	7.22	17.12
26.47	93.33	39.63	0.37	3.77	0.64	5.61	1.08	1.06	3.34
10.08	84.98	39.53	0.29	2.82	1.41	-2.18	2.22	-3.00	2.37
16.23	94.49	45.46	0.02	5.19	-1.88	-0.03	10.29	4.43	13.92
14.67	93.37	63.78	0.21	2.66	0.32	1.02	1.50	1.66	2.22
13.08	99.38	82.32	0.05	3.91	-0.27	0.57	7.95	1.82	6.23
10.16	85.46	104.70	0.22	2.35	4.31	-4.72	7.91	-8.93	2.79
12.25	87.17	105.82	0.02	8.56	4.07	1.90	11.49	3.02	11.44
18.90	97.03	131.67	0.04	2.36	1.18	-0.77	10.00	-2.95	6.50
14.99	76.06	142.82	0.28	1.43	0.56	2.72	2.33	-0.09	8.26
18.40	107.74	9.87	0.24	3.16	-0.62	-2.78	1.99	2.06	2.05
19.46	94.04	31.32	0.33	2.64	-0.24	-1.10	1.04	-0.82	1.47
20.71	94.57	32.59	0.09	3.27	0.03	-2.76	2.75	-5.09	4.61
12.26	90.07	58.67	0.07	3.39	0.36	2.48	5.63	2.91	8.79
16.14	102.69	66.44	0.18	2.62	-0.22	0.11	3.11	-2.28	1.46
13.65	99.58	83.15	0.36	2.78	0.22	-2.07	0.85	-0.70	2.14
21.44	102.86	96.61	0.04	4.01	6.05	1.70	7.50	0.98	2.35
23.02	105.35	97.91	0.33	2.19	0.68	-1.65	1.80	-1.77	1.08
